status_id,label,sub_label,fulltext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133708908533559297,10,,Congratulations Lonnie Bunch!  You will do great leading the Smithsonian. https://t.co/LAWQUuxWVg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133707469476290560,1,,Well deserved!  The world needs more people like @RealSarahIdan https://t.co/vFcVETr0SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133706935088373761,10,,Wow!!  Amazing! https://t.co/kayPDzkWhT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133704763298779136,9,,So cool! https://t.co/znvStkOibs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133699538793979904,9,,I love what @OYCMiami does for kids in Miami because of great leaders who care! https://t.co/D2CpXpMYWd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133697823352983553,6,,Two of the greatest hoopsters.... both looking wonderful! https://t.co/6bzbttiaD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133476630897336320,0,,Team ?¶@kfc?? presented me their new apron patterned after their Colonel ?úchickendale??promotion. Love the sense of humor and not taking yourself too seriously!  Lots of fun and congrats on seriously good @kfc ad campaign and great results! #yumbrands https://t.co/KUilEvLIwL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133471433638567936,8,1,"?úPurpose driven, passionate people guided by their values create amazing outcomes??- @LearningMoment 
 #leadership  #mg100 https://t.co/1Au2rKfEtm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133448962298523648,1,,Leaders are smart with heart...one without the other won?ôt take you nearly as far!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133409595181944836,1,,You will follow great leaders to the moon once you know they believe and care about you! #TuesdayMotivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133406621873430534,1,,Want to be a great leader? The best leaders have conviction! Here's why. https://t.co/4tbyWQXbt4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133189098599063552,6,,Nice @1957MHStone!  Good memories I?ôm sure. https://t.co/ILJMvNFYYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1133057363877908483,10,,"Thanks, Simon Sinek for sharing this with us.
#startwithwhy Simon Sinek Inc. https://t.co/vgKwxEJmT4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132988069957787648,9,,"On Memorial Day, let us remember what we celebrate: the honor of the men and women who made the ultimate sacrifice for our country. The freedoms that are the foundation of our nation are not free, and we will never forget those who fought to defend our values at home and abroad. https://t.co/XTQ1icy7yc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132979249860763648,2,9,"A violation is a violation.  We should not look the other way at a violation. @realDonaldTrump deserves credit for opening up dialogue with NK, but needs a firmer backbone when commenting on NK?ôs actions that outwardly threaten the stability in the Pacific region. https://t.co/5Am3QZbs9Q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132975196112134145,6,,This is a great story!  Speaks volumes for Toronto and Canada. https://t.co/nvT0LU8yYm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132964675761655808,9,,Forever indebted fo all those who have given and  give so much to preserve our freedom.  Will never ever take it for granted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132854231915012096,2,,Sorry guys.  In my lifetime this is a huge stretch.  I have him 11th out of 12.  Purely on results and achievements I have him 12th.  Weak domestically and weaker on foreign policy. Best accomplishment... naming @BruceAHeyman ambassador to Canada. Iran deal alone..makes him 12th. https://t.co/SzkzWDspfz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132762699354574849,1,,It?ôs the technology advances of a bygone era that allows for the technology advancements of today.  Tremendous credit to the men and women who have pushed the envelope to make Aviation one of the greatest industries known to mankind. https://t.co/aIJa8BWCKp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132761904928219137,6,,Bart Starr gave us some of the greatest memories in sports history.  Bless his soul! https://t.co/AfRdaaz0n4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132760369326436352,6,,"Tremendous memories watching this all time great lead the best football team of his time, the famed and feared Green Bay Packers @packers .  Thanks for the memories Bart Starr. https://t.co/V4MesPcZzt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132683034766073858,7,1,Thank you @gregfenves for inviting me back to @UTAustin where I started @Dell 35 years ago. I very much enjoyed celebrating with the Class of 2019 and giving the Commencement speech: https://t.co/ELfx5F2khO  #UTGrad19 ??#HookEm ??#UT19 #WhatStartsHere @DellScholars https://t.co/fWvtvyxzzX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132654458855411712,9,1,@GovHolcomb a great Governor doing great work for the People of Indiana! https://t.co/cWTsJDSzz3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132631378691088390,1,,Leaders help you see the self inflicted ceilings you put on your development and and take joy in helping you breakthrough and achieve your full potential.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132436404917678080,9,,Wow!  Great photo https://t.co/9MhIHsco1u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132419345773150208,2,,What does this even mean? Please don?ôt encourage/agree with one of world?ôs most brutal dictators &amp; US adversary as he takes shots at a past VP of US &amp; leading D candidate for Pres.  You should always defend  @JoeBiden over Kim. Why would you defend NK firing off any weapons? https://t.co/ZCL3J56KiH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132293583053250565,1,,"This is what great leadership looks like!  Set the stretch goal, find great people, inspire them, fund their dreams / efforts, measure progress, keep inspiring, make it happen! https://t.co/noQZIM4AsM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132284113463984129,9,0,"In 2004 @DellFdn created @DellScholars program. So far we have supported 4,800+ scholars. Today Susan and I will have an opportunity to meet many of the Dell Scholars that are graduating in @UTAustin Class of 2019. See you at Commencement! ?? #HookEm ?? https://t.co/16kFOFIyLb https://t.co/Dy9Rjudyam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132267246427017222,3,1,Happy 90th Birthday Dad. I?ôve learned so much from you and love you so much! https://t.co/y3ocwk7lG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132265428372348929,3,1,Happy 90th Birthday Dad!  The best is yet to come!!! https://t.co/2K4fwGi4B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132253835597160451,3,,"Dad,  Happy 90th Birthday!!!  You are the greatest man I know. Love you so much, David https://t.co/eRHGXNcqjY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132132591782334464,7,1,@rtiworld @USISPForum @narendramodi Completely agree!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1132015316417032195,1,,Purposeful recognition is a leadership skill that you must learn  to become an excellent leader. 82% of people do not feel recognized by their supervisor for what they do. That?ôs so sad and something every leader should strive to change.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131952132775645184,0,,Namaste and Thanks to all of our customers for making @DellTech @DellEMC @Dell #1 in ?áÆ?á≥ India! And a huge thanks also to all of our team members for their dedication! ?? ?? https://t.co/WDviDjFBvj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131789687146852353,1,,You need to care about every member on your team. It?ôs hard to be a good coach to someone you?ôre ambivalent about.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131742379742904320,1,,@RajmohanPanadi1 @MukeshAghi @narendramodi Thank you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131742208506204160,2,,"@chinnusenthil1 @narendramodi @PMOIndia Please call me John, investments in these areas lead to long term economic growth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131631164345602049,2,,"Congratulations to PM @narendramodi on his election victory. I believe India's position as the world leader in economic &amp; inclusive growth will continue under his leadership for the next 5 years. Phir Ek Bhar Modi Sarkar (""One More Time, Modi Government??! https://t.co/lCWdDq8rHu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131594386633105409,7,1,Having a great talk about transforming managers into effective leaders for @oGoLead. @storybrand @GlobalGameChgrs @LeadtoFeed https://t.co/RzqfR9r6uA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131540432687718400,0,,Great looking and durable containers from @AARCORP Mobility Systems https://t.co/2evgrxUuW7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131517073589493760,1,,"Once you discover and act on  the power of genuinely valuing others and seeking their input and involvement, you  are on the way to becoming the leader you can be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131387953085919232,1,,The best leaders know in the end they are only as good as the people they are surrounded by.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131320771660406784,7,1,"Big shout out to @ragythomas of @Sprinklr for making our #CollisionConf session a huge success! It was honor to share the stage with you to talk about how mentorship brings value to #startups and #unicorns like Sprinklr. Ragy, you rocked it! https://t.co/97W6Mi7nLd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131318646490501122,7,1,"What an honor to join the panel w/ @rquintini &amp; @mstiddy, moderated by @MazMHussain, at #CollisionConf, discussing whether tech is for good. We agreed that it is, but only when we focus on giving back, creating jobs &amp; cultivating the next generation of #startup CEOs / founders! https://t.co/0z180vCREt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131280681273765888,8,1,"employee engagement. 
 #leadership https://t.co/tvliN5GwAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131261659794857986,1,,You will follow great leaders to moon once you know they believe and care about you!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131252579873148928,8,1,"Don?ôt miss this episdde of Disrupt  Yourself - @johnsonwhitney has a great conversation with @BreneBrown
https://t.co/BBpDGlix7y

 #leadership #culture #mg100 https://t.co/FCj9WkuAq6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131245271390859264,1,,"How can CEOs drive digital innovation without learning to code? It?ôs simple; ask the right questions, measure the right things and break down walls. @pivotal?ôs @derrickharris explains: https://t.co/xOFeLMFb1y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131236916349812737,1,0,"Digital risk management is a vital part of digital transformation and President @RSAsecurity @rohit_ghai shares how @DellTech helps companies chart a safe passage to their digital future:
https://t.co/LRQU3HdZ7h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131215389550096387,0,,"Like @CliffDePuy says, just another way that @DellEMC @VMware makes protecting data that much easier.
https://t.co/yLNokNq6Tn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131209554958487555,8,1,"It?ôs a shame that most people only feel they are doing a good job because they didn?ôt get yelled at today - an observation from @kenblanchard - thanks @mollytschang for sharing the importance of gratitude ?? for others &amp; what they do. 
 #culture  #mg100 https://t.co/n03Ml6njCv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131184168350736384,1,0,Great takeaways from @Discover?ôs Victor Hansen on their work with @pivotal to modernize their application stack and data service architecture: https://t.co/32UltT2Wv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131153554591354882,1,,"In your digital transformation journey?îdesign matters, and it?ôs imperative for success. @pivotal?ôs @rseroter explains why in this post: https://t.co/Sf7XCNRzZE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131144396345368577,0,,"Learn how we're creating long-term value from @DellTech CFO Tom Sweet's new blog series on @Direct2Dell.
https://t.co/VjK95bHCLj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131008429366087681,1,,Recognition says you are watching and appreciate what others are doing to move the business ahead.  Use it as a powerful leadership tool!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131008403864772610,9,0,"Congratulations @AongusatDell! And thank you for making our @DellTech #CultureCode real every day by how you work and lead
https://t.co/0ix97i1g5W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131002847766687744,9,1,A special media that i know you?ôll all appreciate @worldheartfed @IntDiabetesFed @DiabetesSocMed @KellyRawlings @DiabetesMine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1131001668768866304,9,,@Diabetes4cast @diabetesdaily @AmDiabetesAssn @ManageDiabetes @Jerel_SOSMG so proud i wanted to share with you all #diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130991675516575744,2,,Best US Ambassador to Canada ever @BruceAHeyman and his beautiful wife @vshey.  Thanks for all you do! https://t.co/onacW66DHu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130940488507383808,9,0,"ICYMI at #RADIO2019 our @VMware team announced how we'll provide data center operators with near-real time ?úcarbon scores????and recommendations for reducing this footprint - creating transformative technology to power a better future for the planet.
https://t.co/QrKsXdHNWd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130894668177321984,9,,@NortonChildrens @UofLPeds @uofl Wanted to share with you all! #type1 #type1diabetes #diabetesawareness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130836313861545984,1,,"""It's not enough to have lived. We should be determined to live for something. May I suggest that it be creating joy for others, sharing what we have for the betterment of personkind, bringing hope to the lost and love to the lonely."" -- Leo Buscaglia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130667614697590786,1,,Building people capability is the formula for success for every business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130618979293290497,8,9,"My wife Wendy receiving cards from Norah, seven year old type 1 diabetic, who is benefitting from Wendy Novak Diabetes Center. Norah was the star of the day. Looking at Norah reminds me of what Wendy must have looked like when she was diagnosed at 7. https://t.co/ornLGP3yhX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130617664169234433,8,9,My wife Wendy speaking at golf fundraiser for Wendy Novak Diabetes Center after receiving cards from kids recognizing her for living 60 years w Type 1 Diabetes. The best is yet to come!  Thank you ?¶@ValhallaGolf??for the great job w course and first class service. https://t.co/hWSjlAdKpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130616821063782400,8,9,Kids from Wendy Novak Diabetes Center recognize my wife Wendy for living 60 years with Type1 Diabetes. The cards are awesome. The best is yet to come! #type1diabetes #JDRF https://t.co/fAdPMdKnZw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130584170890170371,7,8,Excited to be at the 5th Annual Wendy Novak Diabetes Center Invitational ?¶@ValhallaGolf??with my daughter Ashley and Wife Wendy.  It?ôs a world class event for a world class diabetes Center!  Appreciate full participation on beautiful Kentucky day!  #type1diabetes https://t.co/apM90kGRqZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130487886741159937,9,,Innovative and very generous gift from Robert F Smith with donation to cover the school debt for all students from the Class of ??9 at Morehouse College.  Well done Sir!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130468896815718400,1,,"""Seek opportunities to show you care. The smallest gestures often make the biggest difference."" - John Wooden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130430579558760448,7,,Hey grads:  you obviously want to do well when you interview. Remember you can really distinguish yourself by the questions you ask. Too often I?ôve had people  say they don?ôt have any when I ask them if they do  This shows a lack of curiosity.  #GraduationBall2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130293867033632769,9,,Thank you Robert F. Smith!  America needs more leaders like you!  Thanks for giving back! https://t.co/mJhFnAV8to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130293504926781440,9,,Incredible generosity !  We need more positive feel good stories like this!  The Morehead College Class of ??9 and their families will forever remember this day! https://t.co/MIhghVbCi6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130110872691576832,7,,"Hey grads:  pay attention to the culture, the work environment, when you interview. If you see smiles and feel positive energy, it means people are happy there. Conversely, if you don?ôt see smiles and energy, chances are it?ôs not a vibrant, nurturing work place. #Graduation2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1130100780931923968,8,1,"Leaders get excited when they meet talented people and will do everything they can to recruit, develop and retain them. #leadership #talent #SundayMorning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'1129809967303708672,7,1,@emiliocg Trends similar to US in terms of focus areas. But instead of lagging by 1-2 years much closer to innovating at same time as US. Quality and competitiveness of startups much improved even since last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
