status_id,label,sub_label,fulltext
'1100585564405940225,7,,"Excited to talk @USAFacts ?? and @LAClippers ?? tonight with @jimmykimmel.

More here: https://t.co/ugkHgQE7x6 @JimmyKimmelLive"
'1087414463744040960,9,2,Today is such an important day. Let?? heed the wisdom of Dr. King #MLKDay https://t.co/nZeuoQdyq9
'1049042365044981761,6,,"All of us @LAClippers are proud to support more access for more kids to great basketball courts here in LA. 

Let's go, Clips! https://t.co/OegIFWdkbo"
'1063535102574026752,6,,@panos_panay Proud of you Costas
'989560684361977856,7,8,"Thanks to Patrick Steel and the team @POLITICOLive in DC today. Great to share how we're building @USAFacts to drive numbers, accountability, and outcomes. https://t.co/s7mcVKHDn3"
'1057370255968923648,7,,Headed to NY this week to join @andrewrsorkin and talk @USAFacts at @nytimes #DealBook conference https://t.co/GNp0bu3mg1 https://t.co/VZZNFaC45n
'913584220756258817,6,, @ZachisZach a lockdown defender and writer https://t.co/mhxMRcTYS8a lockdown defender and writer https://t.co/mhxMRcTYS8a lockdown defender and writer https://t.co/mhxMRcTYS8
'965442814032171008,6,,"Awesome to pass the torch to @Jumpman23 for the 2019 #NBAAllStar game in Charlotte. Thanks @NBAAllStar for a great game, and go @LAClippers! https://t.co/YHabuDgsM2"
'967413078429257729,7,,"Great to talk data, sports, @LAClippers, and @USAFacts with @Rachel__Nichols &amp; @NateSilver538 #JustTheFacts -- thanks all at #SSAC18 https://t.co/xXLvef1TzL"
'970519249167904770,6,,So cool for @kobebryant and #DearBasketball congrats!  One of my favorite topics!!!
'967400009548357632,7,6,Ready to take the stage at the MIT Sloan Sports Analytics conference with @Rachel__Nichols and @NateSilver538 - live now: https://t.co/1htTD7gn3u #TalkDataToMe #SSAC18 #JustTheFacts https://t.co/hKX3uxBgMs
'888198758315569153,10,, @alex Not surprising I agree with this  I am happy you included luck. Big part of lifeNot surprising I agree with this  I am happy you included luck. Big part of life
'1054107292008775680,9,8,"Statscan may be dull, but it?? a vital institution - The Globe and Mail           I love Statscan.  The USA should aspire to this integrating all our many statistical agencies like Census bureau, Bureau of Labor Statistics etc. Our love ??USAFacts?? https://t.co/DnzqymWzPW"
'749666760836599808,6,, @ManCity @ESPNSteinLine the McAfee FYI @
'1051962323227856897,0,,"Paul was a truly wonderful, bright and inspiring person?? and a great friend. I will miss him https://t.co/HYhtgZGo8C"
'1055998409130283010,6,,".@LAClippers CourtVision is the future of sports viewing! 

Check it out: live stats, play diagrams, and animations in real time. Thanks @SecondSpectrum team for making it happen. https://t.co/QaHWuLOSje https://t.co/Ss2fQnf2WH"
'921106458518937602,7,,Talked education policy with the North Texas legislative delegation before heading over to @Commit2Dallas. Good work. https://t.co/oobEwml8RU
'1126929636615774208,8,,Love to see people benefitting from our @usafacts work! https://t.co/36SJkj8KQM
'909447158843113473,7,1, @pipms Thanks pip. Hope you are well
'658435070047338496,7,0,"Fun on @BloombergTV Friday. I said @Microsoft is doing great hw, s/w innovation --only challenger to @apple for new devices. @Surface 10/26!"
'1010014899932561409,6,, @Rome_Coldbucks1 @LAClippers So excited to have @Rome_Coldbucks1 as a clipper
'1051987477882462208,6,,"And last Paul told me for years that I should own an nba team. He used to yell at me ??teve, you got to do it, it will fire you up?? That too changed my life for the better @LAClippers"
'886284661957242881,7,2,"My pleasure, Doug. https://t.co/mYSTBs3IKE"
'991379401874034693,7,2,Thanks @SullyCNBC https://t.co/2ztKwaysem #MIGlobal https://t.co/KyTqie07SE
'991340054395187201,7,,"Fired up to talk @USAFacts, @BallmerGroup philanthropy, and @LAClippers with Mike Milken today! #MIGlobal https://t.co/KlbILgL7HC"
'658441944469667840,6,,Gotta love this picture Go @LAClippers  https://t.co/D9UQDGoxVw
'978474146131722240,6,, @CP3 I kinda like it myself.
'658436349779816448,1,,"Fired up @surface, @surfacebook. Available tomorrow. Best tablet, laptop in the world. And you can write on them.Never lose your notes again"
'1049425803816005632,7,,.@wsj asked me how to make good career bets and I told them -- you gotta follow what excites you. https://t.co/qgf2AChSJh https://t.co/CsM6hv9GkH
'1009660307164155905,7,, @TimOBrien @dinabass @jamesgibney Cool @dinabass @jamesgibney Cool presentation
'836432001812963328,10,,How good are US bridges? This is a cool visual National comparison is great context  would love history Gov't facts! https://t.co/SowW45iobf
'658438600112013312,1,,"Good quarter $MSFT. Trying to understand details but go @Azure, @Office365, @surface, @Xbox @Windows Keys to @Microsoft future Market knows"
'941393541409984513,7,8,"Tomorrow 6:30am ET I'll talk about the #TaxBill with @MariaBartiromo, and show how our new @USAFacts tax report helps keep the public informed -- and the government accountable. https://t.co/d1iN2dR7R3 #FactsInFocus"
'928328101918138369,7,8,My take on government data and @USAFacts - thanks to @TeamCavuto @FoxNews https://t.co/VTW6uFAoIJ
'953170019600314368,6,,Tonight was a good good night @LAClippers  our players have so much heart and our fans were the best ever #emotional
'869695200377028608,7,,"Ready to talk @LAClippers, philanthropy, and @USAFacts with @karaswisher at #codecon - here's how to watch live: https://t.co/MHhyJSGZeu"
'963210928513736704,6,,Gotta love Milos. He?? got some real game let?? go Milos and let?? go @LAClippers  https://t.co/rXJkpDTIQU
'1032946514241323008,7,8, @FlairSlick @USAFacts @KicksNGigglesTV We have no board. All the data comes from the us government with sources noted. I have no party affiliation but will express my hope we balance our budget and help kids in need
'958199988735025152,6,,Thanks so much to @blakegriffin32 for all he did for the @LAClippers   He is an incredible player and an incredible person. He made our team into a real franchise and deserves a ton of credit. I wish him all the very very best
'957379948997697536,6,, @TeamLou23 Yeah baby!!
'1006684572220870656,7,4,"Proud to stand with @AsmKamlagerDove as we work to make @CityofInglewood the new home of the @LAClippers -- let's bring jobs, opportunity, and prosperity to this thriving city! https://t.co/GG4i4uEwfB"
'985928081566261249,7,8,Excited to talk to @TeamCavuto on @FoxBusiness about @USAFacts and our new 10-K. Join us tomorrow for more -- sign up here: https://t.co/17uwUp7Spx.
'1062560008880107520,6,, @RealBillRussell@LAClippers @warriors @NBA Great being with you Bill. A real treat
'1035762582773219328,6,,California's legislature signs off on a new home for the Clips! Thanks to @sydneykamlager and @SteveBradford for their leadership on the world?? best and most energy-efficient basketball arena -- an arena worthy of both Inglewood and all of LA. Go Clips! https://t.co/cpJ9mMzEGG
'855480329485770752,2,,Thanks @BillGates for the @usafacts shout out we are excited about the potential
'893957946358603776,6,,"Welcome to the Clips, Willie. https://t.co/Tte5dbpNYD"
'651221931715198976,0,,Expect exciting products from MSFT tomorrow. Love my Surface Pro can't wait to see what's next. MSFT will innovate in hardware and software!
'1042975045935669248,6,,@JCrossover Love the vista!!
'1051986716297433089,0,,I also want to add that Paul?? insights were critical to the creation and success of Microsoft. He was a great professional mentor and teacher for me.
'964639676039442432,6,1,"Fun panel at the @NBA Tech Summit. Future of storytelling, AI(tech not the A I??) Great participating with moderator @TurnerSportsEJ and panelists @kobebryant @IssaRae @kdtrey540 @ConnorSchell and fellow tech industry mates. We will revolutionize sports viewing with tech!! https://t.co/DgwtH5lvGJ"
'992140520674635782,4,,"Thanks @AdvisingCorps and @RooseveltHSLA. Great kids, bright futures. Go! https://t.co/Vh8xXMDPgH https://t.co/UgTVBbUPRB"
'984300878168338433,6,,"I appreciate the energy, effort and good teamwork of the @LAClippers this year.   With all our injuries, we really battled. Thanks to our players and thanks to our fans #ClipperNation"
'912675283047608321,6,,Excited for @LAClippers training camp. Look forward to a great season
'1062110600099180549,7,1," @JoannaSternLook, you already made me laugh in a fake elevator. The interview will go GREAT. https://t.co/iCDKKcGkxO"
'953016365383696384,6,,Congrats looooouuuuuuu https://t.co/RuWTm1dNCG
'874361062233190400,7,8,Great talking @USAFacts with @Julie188 from Business Insider ??Facts solve arguments! https://t.co/6vfxNLa5zA
'659971638838988800,6,,Lots going on in the world of tech and government but all I can say today is 2-0. Sweet victory tonight very sweet  go clips
'951543332991365121,7,,"Fun catching up with @toddbishop at Seattle Rotary yesterday -- we talked @USAFacts, @BallmerGroup philanthropy, and @LAClippers https://t.co/DNZVTR1y1m https://t.co/JwiTyvvwHn"
'658432151478644736,6,,Excited for the start of the NBA season this week. Go Clips!!!!
'1062560232931385344,6,,Very funny. It was a fun game with a great @LAClippers win https://t.co/Xz0GMLYyh5
'1100588206326575104,6,,Very cool stuff https://t.co/SNbJThckHt
'804070074646548480,1,,Inspiring day@whitehouse tech and opportunity summit. Great meeting Marian Wright Edelman https://t.co/MJfc12vjmV
'813594179905294336,6,,Jj redick #nbavote
'965102794729406464,6,,"Fun time at the @NBA skills , 3-Point and dunk competition  glad to have @TeamLou23 and @tobias31 participating. The dunk competition was special https://t.co/MvOvf1MhlO"
'709156462690504704,6,, @kanyewest@LAClippers  love Chuck but love your creativity. Lets talk. Lunch?
'964322750574690304,7,1,"??he rate of company formation is half what it was 4 decades ago,??says @portereduardo @nytimes. #Startups are drivers of economic growth, dynamism and job creation, which is why being a startup nation must be a top priority in the US. https://t.co/3EonUCN8FV"
'1087016335744196608,7,1, @Onattukarayil @VibrantGujarat @PMOIndia @narendramodi @NITIAayog @RBI @sebi @MohanCRaja @TVMohandasPai Interesting idea!
'981701190789619714,1,, @mkoteshwar@pindrop Want to enjoy life everyday
'1032129740746838016,1,, @DrJamesLogan Yes Wang is an example
'934839506305519617,1,," Thank you, they are like startups in many ways, and I love them unconditionally"
'1124361176215740416,7,,"Great to be on @CNBC @SquawkAlley alongside @karaswisher @Recode talking about IPOs like @BeyondMeat, the future of tech &amp; why gov't &amp; businesses need to work together to establish rules that keep data safe, cricket protein &amp; more. Thanks for having me! https://t.co/D1iqHIpm8h"
'1039218552371400704,7,1,Thanks @AIMA_org for having me at the 3rd #USIndia Conference to discuss growth opportunities in India. India?? #startup scene is quickly evolving w/ the government?? Startup India program &amp; I'm betting foreign investment will start flooding into India in the next few years! https://t.co/ND7AR4oHtW
'932937656857591808,7,1,Thank you for having me @BrunoLeMaire at the #RDVBercy2017 to discuss startups and inclusion around the world. https://t.co/INgtGcsoNG
'898592964569554946,1,,"Move over, Silicon Valley ??see the top 25 startup hubs giving it a run for its money! https://t.co/ohyxo1ZH8E"
'971536311633854464,7,1,"In addition to being major #startup advocates, the team at @JC2Ventures is dedicated to mentoring the next generation of young companies and CEOs to create an inclusive startup world. Wonderful to speak with @SVBizCrom @SVbizjournal about our approach! https://t.co/i2M186sTA5"
'908488760719020032,7,,"Over the 20 years of knowing Shimon, this is one of my favorite moments in June '16. He always challenged us to dream bigger @PeresCenter https://t.co/7o1IGZtwKP"
'1067863608871153664,7,,"Instead of preparing students for existing jobs, we should focus on teaching them skills for the jobs of the future. We need to add another ????to STEM because entrepreneurship is equally as important as science, tech, engineering &amp; math.  https://t.co/EbvVwooe4z https://t.co/TwqxP9mL6K"
'1129385073503924226,7,1,"My highlight of #vivatech2019? Moderating a panel w/ #ForbuesUnder30 Europe honorees @amplebrain @teamplaybrush, Didrik Svendsen @Tailify, @xavedurand @aircall, along w/ @marieschneegans @workwell. It?? always enlightening to connect w/ innovative #startups &amp; founders! https://t.co/WOMzVbcrg7"
'1047954318240841729,7,1,How should #startups handle setbacks &amp; build the best teams &amp; culture? Questions young companies &amp; their leaders need to ask as they scale up. Thanks @cheddar?? @lisahopeking &amp; Brad Smith for having me on to discuss these challenges &amp; #ConnectingTheDots https://t.co/xHfVPdplui
'981700600210575365,7,, Thank you and yes I am having a lot of fun!
'977211894741155840,7,1, @IndiainNewYork @narendramodi It takes time even with great programs to turn the largest democracy in the world to a innovation machine with the associated inclusive job creation
'936727528592441344,7,1,#USIndia partnership is more important than ever and I'm working with @USISPForum to forge even stronger relationship #USISPF Always come away from my meetings with the @USISPForum team inspired about the future! https://t.co/F1QEIoQDFP
'928033455895592960,9,,Changing the way we eat and solving world hunger with @AspireFG crickets! Amazing meal @Saison @AshourAspire @bethkowitt https://t.co/VRwcLi9Fbc
'958097402375761922,9,,Meet Bug! A kiwi I met at Cape Kidnappers nature reserve. Bug is one of 14 endangered kiwis being raised in the wild area reserve and once healthy and big enough they will be released back into the wild. https://t.co/5480BP1t61
'938576744470102016,0,7,Hard to believe it is almost time to say goodbye after more than 25 years at @Cisco! Tune in on tomorrow 12/7 @ 10am PST as I share what my next chapter looks like on Facebook Live. https://t.co/U3xmZ8GRjW
'955731300756934656,1,, @LaFrenchTech @EmmanuelMacron Completely agree
'1124404540365627392,7,1,"Fun to be on @YahooFinance's The Final Round this week w/ @BrianSozzi @heidi_chung @JenSaidIt to talk about #startup IPOs, including @BeyondMeat, &amp; why I?? bullish on future of alternative protein, which is why I have invested in @AspireFG via @JC2Ventures https://t.co/fLCiL0PbV3"
'1002263765725790208,2,,Incredibly well-deserved @ZacBookman! Congrats for being named to the @svbizjournal #40U40SVBiz list. All of your work empowering more effective &amp; accountable governments around the globe is truly paying off. https://t.co/Fs9KifIW06
'898286858462822400,0,,"The world is becoming more connected, leaving implications for countries/businesses, such as ensuring both urban &amp; rural areas have access. https://t.co/OVCHlXtM7M"
'971533221270704129,7,1,There?? never a dull moment when I get to connect with @_SueSiegel. It was an absolute pleasure to moderate a session at the @MontySummit on the future of digital innovation as seen through her eyes as a prior venture capitalist and now Chief Innovation Officer at #GE. https://t.co/oqT2uVac9Y
'982710978289774592,1,, I agree on MBA programs being focused on the opportunities and challenges of the digital age
'1121467590834933762,1,,"Excited to hear @RepJoeWilson @HouseForeign reintroduced the US-India Enhanced Cooperation Act. If enacted, this will align the two countries??defense interests, advancing the strategic partnership overall. The future is bright for US-India relationship! https://t.co/2ogFoeV3ss"
'1039643101827018753,8,,"Whether it's a company of 2 people or 200K, leaders must be fast, flexible &amp; ahead of the curve ??&amp; to do that, they have to learn about innovations not just in their industry but across sectors. Have you pre-ordered your copy of #ConnectingTheDots yet? https://t.co/HEmV1hHwq3 https://t.co/75ztVYFzmi"
'961824533538734083,2,," @tim_cook @Apple @Cisco Christopher, thanks for the kind words. I love enterprise sales  and admire Apple and Tim greatly"
'1044316086316015616,7,8,Excited for #ConnectingTheDots to launch tomorrow! Tune into @CNBC?? @SquawkAlley tomorrow between 10:00-11:00am ET for the first on-air look at my leadership lessons &amp; perspective on the practices of today?? top tech leaders. https://t.co/vc9kdlWV0h
'1018980338536574976,6,,Exciting to see French fans celebrate the country?? first World Cup win in 20 years! Congrats to the talented team and great nation on their victory! https://t.co/BC4IKieG6r
'1053389305115111425,4,,"Of all the aspects of my work, coaching and mentoring is what brings me the greatest joy. Thank you @MayfieldFund&amp; @wef for fostering the next generation of global leaders and your diversity initiatives, which I believe are key for creating a better, more inclusive future. https://t.co/ui1OJvRWFk"
'934864206217842688,1,,"@SShikhlinski Thank you, please call me John. They keep us young!"
'966533409571979264,3,,Sharing a new experience with my family and you... getting up close and personal with a breaching humpback whale and her calf. These are truly majestic creatures! https://t.co/Nc2IQYIl72
'1014324874188165121,3,, Thank you
'910690431075098626,7,,"Had a great interaction with the engineering and business students @UOPacific, so inspiring to hear from them! https://t.co/jNGyw9a766"
'961400611672555520,1,, @sherylsandberg Each of us can mentor in any location where we can truly make a difference. I also intend to mentor high potential female business leaders in India and France.
'1048280370574024704,7,,Thank you to the @ChurchillClub and my good friend Melissa Selcher for a wonderful evening event this week in Silicon Valley! It was a pleasure speaking with the sold-out crowd about key takeaways from #ConnectingtheDots. https://t.co/3AabJGQluo
'918936215591698432,1,,I meet with at least a hundred young CEOs a month and @levie ranks among the top! https://t.co/ZWEvtXR5xx
'935736005105213442,7,1,Had the chance to chat about my 1st investment in an Indian startup with @uniphore &amp; CEO @Umesh_Sachdev with @ShereenBhan in India this week. Great discussion as always! https://t.co/pk8bu75qLb
'1087016416748814336,7,1, @rajinana @VibrantGujarat @PMOIndia @narendramodi Completely agree
'1133746083589320704,7,,"Thanks @mattkrantz @IBDinvestors for capturing the leadership lessons I live by in your recent piece. From staying calm while still moving swiftly in crises, to transforming weaknesses into strengths, I think these lessons are helpful for all leaders! https://t.co/U3SGC9xzVD"
'1114228334416683009,7,1,"Looking forward to taking the stage w/ @peterahigh (founder of Metis Strategy &amp; @Forbes contributor) at the #ForbesCIO Summit to discuss what it takes to be successful in a #StartupWorld, including how CIOs can partner w/ #startups that innovate w/ speed. https://t.co/V7xE03ieE6"
'946501967475380224,0,, Please call me John. And happy holidays to you and your family
'1111706986482012160,7,0,"Thanks @CNBC @SquawkAlley?? @Jonfortt &amp; @MorganLBrennan for having me on the show to discuss @lyft?? IPO today! While I think Lyft is a good long-term investment, the important thing any VC will tell you is to diversify your investment portfolio. #LyftIPO https://t.co/rjh7UcEwdB"
'1115382119767744512,10,,"I am betting big on India. That is why I am so thrilled I was able to contribute to @JayantiRavi?? book, Sanity in Sanitation, which records the trials, tribulations &amp; triumphs in the mission to make India a cleaner country. You can check out the book here https://t.co/kZ7jAdl0Jx"
'922621334747676672,7,1," Thank you for sharing Anders! If companies don?? spot market transitions early, they run the risk of being disrupted by competitors."
'953404320648593408,0,," Probably not, but appreciate the compliment"
'1105884981279121408,7,1,Thanks to @Nasdaq for inviting me to be the latest speaker in their Author in Residence series. I enjoyed discussing the leadership lessons from #ConnectingtheDots &amp; I hope the successes &amp; mistakes I shared equip attendees with insights &amp; tools to thrive in the Digital Age! https://t.co/mxVXbbDXoN
'879708430587613184,7,1,"Great speaking at #USIBC today. As the world's two largest democracies, the work we're doing @USIBC is more important then ever! https://t.co/3tkr9IWSQH"
'932104930990596097,1,, @Cisco Honored to read your post @J_J_E_. I'm sharing many of these same leadership lessons with startups I'm working with today.                                                
'1037758336244936704,7,1,Great conversation with @RichardRVerma for @TeaLeavesPod about the power of technology to transform communities and the ways countries like India are using the latest tech trends to benefit the lives of all citizens. Thank you for having me on the podcast! https://t.co/QYwhGYAy8E
'961310571801948160,1,,Extremely proud to see @Umesh_Sachdev &amp; @saraogiravi on the cover of @Forbes_India.  The team at @Uniphore is leading a data revolution by leveraging the power of voice technology #PowerofSpeech https://t.co/xGUaitO02l
'993884321185492998,1,,There?? a renaissance underway for entrepreneurism in France. Great read by @parmy &amp; @alexwoodcreates in @Forbes about the ways @EmmanuelMacron is laying the foundation to turn the country into a successful Startup Nation. https://t.co/DYOJZSBIEw
'909784745910968320,0,,I want to congratulate @ChuckRobbins on his many successes &amp; on being the next @Cisco chairman
'1088174484186513408,1,,"Not only is JC2-backed @Rubrik a tech #unicorn, it?? one of the highest-valued enterprise software companies in the world. Congrats to CEO @bipulsinha &amp; the entire team for their successful #SeriesE funding, now at an incredible $3.3 billion valuation. https://t.co/uV3gEqrGWY"
'974706346535694336,1,,Several countries in Europe are close to becoming #startup nations. Now is the time to implement a long-term plan by developing a true digital agenda that focuses on fueling startup the growth of startups! https://t.co/4nQ3kl6e9F
'1044572245065158656,8,,"My book #ConnectingTheDots is on-sale at bookstores across the U.S. as of today. Writing a book allowed me to turn my experiences, sacrifices, scars, and lessons into actionable tools for leaders. Grab your copy today and share your favorite lesson! https://t.co/xD2uT5z6kk"
'1012032987888697344,7,1,"A pleasure talking with @JonErlichman on @BNNBloomberg! I love having the opportunity to share my thoughts about tech trends impacting the industry and why #startups, entrepreneurism and innovation are so important to foster today in N. America and beyond. https://t.co/gvNjf5XJKW"
'968956715386335232,1,,"Companies fail because they do the right thing for too long. In today?? world of heightened customer expectations, traditional strategies will hold companies back. Check out this report from #startup @Sprinklr for more insights on the state of #CXM
https://t.co/YBYnp33YQ1"
'986344099945988096,2,1, @GOPLeader @SenSchumer @NancyPelosi @OrrinHatch Makes you proud of the role technology and government leaders can play in our country?? job creation and innovation future.
'914989633468907520,9,,"My thoughts and prayers go out to all of the victims, family and friends #PrayForLasVegas"
'942075081424904192,1,, @USISPForum @FollowCII It was also an issue in France and India in terms of large firms hesitant about doing business with startups. Concern is startup failing.
'927619358716653568,1,,US is falling behind on its startup engine &amp; surprising to some needs to be more like France/India to create necessary jobs for the next gen
'940728222467047424,7,1,"This week I will be talking about why #startups are so important to the future of innovation, jobs, economy, gender equality/diversity in U.S. and India. Efforts need to start with government and organizations like @USISPForum and @FollowCII play a huge role!"
'1088901135929233408,1,,It's a tremendous honor to receive the Padma Bhushan award. I??e always believed in India &amp; it?? been incredible seeing the transition the country has made from slow follower to fast innovator. I?? lucky to be part of this incredible success story. https://t.co/rjLimXjwjO
'1059914173054939141,7,1,One of the best parts of my work is meeting the inspirational entrepreneurs who are solving the world?? most pressing problems. Thanks @ShereenBhan &amp; @CNBCTV18News for having me at the Young Turks Conclave where I had the chance to meet a group of true game-changers. https://t.co/qNbItynyTJ
'1044956322817617921,7,1,"Congrats to an important part of the @JC2Ventures ecosystem, our partners @RuderFinn &amp; @bloomgk, on winning 3 awards at @PRNews ??large PR firm of the year, promotion of firm, &amp; CEO of the year. Extremely well-deserved honors for the hardworking team! https://t.co/D0AtyWBXmT"
'944249581021274117,7,1," I am so happy we had the chance to meet at #GES2017, Vani. Your story is an inspiration to all aspiring entrepreneurs, especially those in India."
'1086427569610805249,7,1, @VibrantGujarat @PMOIndia @narendramodi Thank you. I believe strongly in the future of India and the startups emerging are very good!
'936670424175218689,1,,Participated on a panel w/ @IvankaTrump at #GES2017 this week where she represented our country &amp; the strong ties between U.S. &amp; India. The entire global economy will benefit from breaking down barriers for women in the workplace &amp; as entrepreneurs! https://t.co/Un0pXN1IkX
'950505280525119489,1,,"Love seeing the #startups I work with continuously rollout innovative products, solutions and tools! Congratulations to @Sprinklr on the launch of 2 new solutions that will help global brands improve social #advertising. https://t.co/1SchhdI0bc"
'984507272452698112,7,,Thanks @JoeSquawk &amp; the @SquawkCNBC team for having Kevin Madia and me on the show! Great to be in D.C. to outline the ways businesses &amp; governments can join forces to boost the U.S.?? standing in today?? global innovation race. https://t.co/Hy0rY83I1b
'961401141660733441,0,,"@j_n_s @sherylsandberg Tiffany, thanks for the kind words"
'925150573543829505,0,,"Thrilled to see #CiscoCDA launch in the U.S., starting in the great state of Michigan!
https://t.co/G3Fn8jfn7s"
'955844508675026944,1,,"@Arreldee1974 @brigantine22 @LaFrenchTech @EmmanuelMacron @gouvernementFR Thank you, strong ties to France for many years. Visited France 16 times over the last three years."
